商學	200	100	300	500	500	20	80	220	580	3340	
科航	260	100	300	500	500	20	100	240	620	3420	
圖書	480	200	600	1000	1000	60	240	520	1260	6400	
紀念	480	200	600	1000	1000	60	240	520	1260	6400	
行二	540	200	600	1000	1000	80	280	560	1320	6500	
行一	720	300	900	1500	1500	140	460	980	2340	9500	
忠勤	720	300	900	1500	1500	140	460	980	2340	9500	
工學	940	400	1200	2000	2000	200	660	1340	2900	11500	
語文	940	400	1200	2000	2000	200	660	1340	2900	11500	
育樂	1000	400	1200	2000	2000	240	720	1420	3040	11700	
土水	1180	500	1500	2500	2500	320	1000	2000	4120	14000	
學思	1200	500	1500	2500	2500	340	1000	2060	4240	14200	
理學	1400	600	1800	3000	3000	440	1300	2440	5040	15400	
體育	1460	600	1800	3000	3000	480	1400	2680	5180	15800	
操場	1460	600	1800	3000	3000	480	1400	2680	5180	15800	
司令	1640	700	2100	3500	3500	560	1800	3360	6560	17600	
人言	1640	700	2100	3500	3500	560	1800	3360	6560	17600	
人社	1700	700	2100	3500	3500	600	1900	3500	6800	18000	
電通	1920	800	2400	4000	4000	720	2200	3920	7520	18200	
資電	2000	800	2400	4000	4000	800	2400	4200	7800	18800	
