城市	 地價	 公寓	 大廈	 飯店	 地標
曼谷	20,000	10,000	30,000	50,000	50,000
北京	26,000	10,000	30,000	50,000	50,000
東京	48,000	20,000	60,000	100,000	100,000
杜拜	48,000	20,000	60,000	100,000	100,000
開羅	54,000	20,000	60,000	100,000	100,000
首爾	72,000	30,000	90,000	150,000	150,000
雪梨	72,000	30,000	90,000	150,000	150,000
魁北克	94,000	40,000	120,000	200,000	200,000
聖保羅	100,000	40,000	120,000	200,000	200,000
布拉格	118,000	50,000	150,000	250,000	250,000
柏林	120,000	50,000	150,000	250,000	250,000
莫斯科	140,000	60,000	180,000	300,000	300,000
日內瓦	146,000	60,000	180,000	300,000	300,000
羅馬	146,000	60,000	180,000	300,000	300,000
倫敦	164,000	70,000	210,000	350,000	350,000
巴黎	170,000	70,000	210,000	350,000	350,000
紐約	192,000	80,000	240,000	400,000	400,000
台北	200,000	80,000	240,000	400,000	400,000
