城市	空地	公寓	大廈	寓+廈	飯店	飯+寓	飯+廈	  	飯+寓+廈	地標
曼谷	2,000	8,000	22,000	28,000	58,000	64,000	78,000		84,000		334,000
北京	2,000	10,000	24,000	32,000	62,000	70,000	84,000		92,000		342,000
東京	6,000	24,000	52,000	70,000	126,000	144,000	172,000		190,000		640,000
杜拜	6,000	24,000	52,000	70,000	126,000	144,000	172,000		190,000		640,000
開羅	8,000	28,000	56,000	76,000	132,000	152,000	180,000		200,000		650,000
首爾	14,000	46,000	98,000	130,000	234,000	266,000	318,000		350,000		950,000
雪梨	14,000	46,000	98,000	130,000	234,000	266,000	318,000		350,000		950,000
魁北克	20,000	66,000	134,000	180,000	290,000	336,000	404,000		450,000		1,150,000
聖保羅	24,000	72,000	142,000	190,000	304,000	352,000	422,000		470,000		1,170,000
布拉格	32,000	102,000	200,000	270,000	412,000	482,000	580,000		650,000		1,400,000
柏林	34,000	108,000	206,000	280,000	424,000	498,000	596,000		670,000		1,420,000
莫斯科	44,000	130,000	244,000	330,000	504,000	590,000	704,000		790,000		1,540,000
日內瓦	48,000	140,000	268,000	360,000	518,000	610,000	738,000		830,000		1,580,000
羅馬	48,000	140,000	268,000	360,000	518,000	610,000	738,000		830,000		1,580,000
倫敦	56,000	180,000	336,000	460,000	656,000	780,000	936,000		1,060,000	1,760,000
巴黎	60,000	190,000	350,000	480,000	680,000	810,000	970,000		1,100,000	1,800,000
紐約	72,000	220,000	392,000	540,000	752,000	900,000	1,072,000	1,220,000	1,820,000
台北	80,000	240,000	420,000	580,000	780,000	940,000	1,120,000	1,280,000	1,880,000
